Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 500,000","Jalan Kepong, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",866 sqft,2 Beds,2 Baths,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/unio-residence-for-sale-by-haniff-teoh-42992179
"RM 310,000","- Jalan Prima Pelangi, Segambut, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","1,049 sqft",3 Beds,2 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/bougainvilla-for-sale-by-anthony-foong-60365447
"RM 934,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",849 sqft,3 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-ryan-tan-41132465
"RM 934,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",849 sqft,3 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-ryan-tan-41132311
"RM 365,000","1383 Lot 1383, Jalan Desa Cantik, Taman Desa, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",883 sqft,2 Beds,1 Bath,Completion: 1989,Freehold,https://www.propertyguru.com.my/property-listing/faber-indah-for-sale-by-patrick-yoong-60013907
"RM 4,020,000","6 Jalan Ampang Tengah, Ampang, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","3,208 sqft",4 Beds,4 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/residensi-ampang-tengah-6-at-6-for-sale-by-ryan-tan-34350618
"RM 4,350,000","6 Jalan Ampang Tengah, Ampang, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","3,509 sqft",4 Beds,5 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/residensi-ampang-tengah-6-at-6-for-sale-by-ryan-tan-38981083
"RM 13,999,999","Persiaran KLCC, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","5,629 sqft",4 Beds,4 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/the-binjai-on-the-park-for-sale-by-anthony-foong-60365365
"RM 2,850,000","Jalan Kia Peng, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","1,157 sqft",3 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/imperial-lexis-for-sale-by-ryan-tan-30188495
"RM 2,150,000","Jalan Kia Peng, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",827 sqft,2 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/imperial-lexis-for-sale-by-ryan-tan-30188108
"RM 2,180,000","Jalan Kia Peng, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",833 sqft,2 Beds,2 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/imperial-lexis-for-sale-by-ryan-tan-42014384
"RM 220,000","- Desa Aman Puri, Kepong Kepong, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",850 sqft,3 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/desa-dua-aman-puri-for-sale-by-tiffany-meng-43425172
