Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 12,500,000","Jalan Langgak Tunku, Bukit Tunku, Kenny Hills, Bukit Tunku (Kenny Hills), Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","8,423 sqft (floor),",6 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/tijani-2-south-for-sale-by-teoh-yie-hao-41213642
"RM 9,500,000","Jalan Sungai Penchala, Country Heights Damansara, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","10,000 sqft (floor),",6 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/country-heights-damansara-for-sale-by-william-43218868
"RM 10,000,000","Jalan Sungai Penchala, Country Heights Damansara, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","10,000 sqft (floor),",7 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/country-heights-damansara-for-sale-by-william-43219012
"RM 13,300,000","Bangsar , Jalan Ara , Bukit Bandaraya, Bukit Bandaraya, Bangsar, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","14,908 sqft (floor),",5 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bangsar-jalan-ara-bukit-bandaraya-for-sale-by-jass-goh-43441486
"RM 9,500,000","Taman Tasik Titiwangsa, Pusat Bandaraya, Kuala Lumpur, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","12,000 sqft (floor),",10 Beds,10 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-tasik-titiwangsa-kuala-lumpur-for-sale-by-aizam-ahmad-500026597
"RM 4,600,000","Jalan Setiabakti, Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","3,500 sqft (floor),",6 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-jalan-setiabakti-damansara-heights-for-sale-by-wardatu-zamzam-43265080
"RM 6,000,000","Jalan Dutamas Cempaka 1, Sri Hartamas, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","7,263 sqft (floor),",5 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/changkat-kiara-for-sale-by-shafiq-muttalib-500026489
"RM 2,600,000","Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)","9,000 sqft (floor),",7 Beds,6 Baths,Bungalow,,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-ahmad-fikri-amer-hamzah-60365577
"RM 6,000,000","Seksyen 5 Wangsa Maju, Seksyen 5 Wangsa Maju, Wangsa Maju, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","10,900 sqft (floor),",6 Beds,6 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/reno-exclusive-pool-2-5-storey-bungalow-seksyen-5-wangsa-maju-kuala-lumpur-for-sale-by-razz-fauzie-60175093
"RM 6,300,000","Bukit Damansara, Bukit Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","5,000 sqft (floor),",5 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/reno-beautiful-2-storey-bungalow-damansara-heights-bukit-damansara-kuala-lumpur-for-sale-by-razz-fauzie-60203399
