Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 2,350,000","Jln Bukit Segar, Taman Bukit Segar, Cheras, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,830 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-bukit-segar-for-sale-by-kris-tan-43099463
"RM 1,500,000","Prima Ukay, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,650 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-taman-melawati-for-sale-by-teng-weng-keong-40623988
"RM 3,500,000","Jalan Datuk Sulaiman, Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,000 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/great-deals-semi-d-house-taman-tun-dr-ismail-ttdi-for-sale-by-nurul-hisham-nordin-40127594
"RM 2,300,000","3 Jalan Datuk Sulaiman, Sungai Besi, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,082 sqft (floor),",7 Beds,5 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/villa-laman-cahaya-for-sale-by-fatin-ismail-43041305
"RM 3,280,000","Jalan Setia Bakti, Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","4,000 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-damansara-heights-for-sale-by-clement-chan-43012050
"RM 2,100,000","Jln Damai Impian, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,500 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/damai-impian-for-sale-by-angel-yeoh-43105117
"RM 1,850,000","Jalan Sutera 4, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,350 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/jalil-sutera-for-sale-by-ck-yee-43112589
"RM 2,100,000","Jalan Sutera 4, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,350 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/jalil-sutera-for-sale-by-ck-yee-42993915
"RM 2,600,000","Jalan Sutera 4, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,500 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/jalil-sutera-for-sale-by-ck-yee-42500436
"RM 2,100,000","Jln Seri Jalil 2, Bukit Jalil, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)","3,350 sqft (floor),",5 Beds,4 Baths,Completion: 2012,Freehold,https://www.propertyguru.com.my/property-listing/seri-jalil-for-sale-by-ck-yee-43000542
