Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 300,000","Residensi Permai, Semenyih","Condominium For Sale, listed 47 minutes ago",900,3,2,Freehold,https://www.mudah.my/residensi-permai-900-sf-f-loan-low-depo-bandar-teknologi-kajang-109013001.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track"
"RM 285,000","Puchong, Selangor","Apartment For Sale, listed 50 minutes ago",852,3,2,Leasehold,https://www.mudah.my/vista-lavender-reno-baru-fully-furnish-corner-285k-103458099.htm,Timeout
"RM 220,000","Desa Mentari Flat (Block 8), Petaling Jaya","Flat For Sale, listed 51 minutes ago",650,3,2,Leasehold,https://www.mudah.my/pangsapuri-desa-mentari-2-petaling-jaya-110777435.htm,"Parking, Lift"
"RM 230,000","Pangsapuri Damai Mewah B, Kajang","Apartment For Sale, listed 51 minutes ago",957,3,2,Freehold,https://www.mudah.my/100-loan-kajang-damai-mewah-apartment-i-selesa-resort-end-lot-111173271.htm,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area"
"RM 390,000","City Garden Palm Villa, Ampang","Condominium For Sale, listed 53 minutes ago","1,210",3,2,Freehold,https://www.mudah.my/city-garden-palm-villa-ampang-1210sf-full-loan-no-downpayment-111279691.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart"
"RM 445,000","Park 51 Residency, Petaling Jaya","Condominium For Sale, listed 53 minutes ago","1,143",4,2,Leasehold,https://www.mudah.my/park-51-below-market-price-for-sell-110984042.htm,"Parking, Security, Lift, Swimming Pool, Playground, Tennis Court"
"RM 465,000","Pandan Villa Condominium, Ampang","Condominium For Sale, listed 1 day ago","1,500",3,2,Leasehold,https://www.mudah.my/corner-lot-well-maintenance-condition-111264001.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area"
"RM 239,000","Kajang, Selangor","Service Residence For Sale, listed 3 days ago",550,2,1,Freehold,https://www.mudah.my/kajang-mrt-condo-2r1b-freehold-2025-q4-get-key-100-full-loan-110413337.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 290,000","Residensi Bistaria, Ampang","Apartment For Sale, listed 4 days ago",850,3,2,Freehold,https://www.mudah.my/full-loan-level-rendah-apartment-bistaria-ukay-perdana-rumah-cantik-110793328.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall"
"RM 125,000","Taman Sentosa (Jalan Dato Dagang), Klang","Apartment For Sale, listed 54 minutes ago",785,3,2,Freehold,https://www.mudah.my/level-1-murah-shop-apartment-dato-dagang-taman-sentosa-klang-110121734.htm,Jogging Track
"RM 350,000","Mentari Court, Petaling Jaya","Apartment For Sale, listed 54 minutes ago",775,3,2,Leasehold,https://www.mudah.my/mentari-court-apt-for-sale-111280000.htm,Timeout
"RM 345,000","Ivory Residence, Kajang","Condominium For Sale, listed 58 minutes ago","1,288",3,2,Freehold,https://www.mudah.my/full-loan-cash-back-120k-ivory-residence-kajang-mutiara-height-106262812.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track"
"RM 150,000","Pangsapuri Kota Impian, Seri Kembangan","Flat For Sale, listed 58 minutes ago",767,3,2,Freehold,https://www.mudah.my/pangsapuri-kota-impian-seri-kembangan-767sf-100-loan-0-down-p-111279653.htm,"Parking, Playground, Minimart"
"RM 140,000","Taman Puncak Kinrara, Puchong","Apartment For Sale, listed 58 minutes ago",650,3,2,Freehold,https://www.mudah.my/taman-puncak-kinrara-puchong-650sf-below-market-full-loan-111279883.htm,"Parking, Security, Playground"
"RM 188,000","Taman Kajang Mewah, Kajang","Apartment For Sale, listed 1 hour ago",850,2,2,Freehold,https://www.mudah.my/pangsapuri-kajang-mewah-apartment-taman-kajang-mewah-5-for-sale-109143327.htm,Parking
"RM 475,000","Apartmen Kampung Tunku, Petaling Jaya","Apartment For Sale, listed 1 hour ago","1,312",3,2,Freehold,https://www.mudah.my/kampung-tunku-apartment-ss1-kg-tunku-petaling-jaya-109711511.htm,"Parking, Security, Playground"
"RM 220,000","Flora Damansara, Damansara Perdana","Apartment For Sale, listed 1 hour ago",850,3,2,Freehold,https://www.mudah.my/flora-damansara-damansara-perdana-850sf-0-down-p-below-market-111279794.htm,"Parking, Security, Lift, Playground, Minimart"
"RM 430,000","Mahkota Garden, Bandar Mahkota Cheras","Condominium For Sale, listed 1 hour ago","1,396",4,2,Freehold,https://www.mudah.my/mahkota-garden-condo-bandar-mahkota-cheras-freehold-low-density-110394054.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 390,000","Shang Villa, Kelana Jaya","Condominium For Sale, listed 1 hour ago","1,200",3,2,Freehold,https://www.mudah.my/shang-villa-condo-sunway-subang-kelana-jaya-full-loan-111279744.htm,"Gymnasium, Barbeque area, Squash Court"
"RM 265,000","Trefoil, Setia Alam","Service Residence For Sale, listed 1 hour ago",486,1,1,Freehold,https://www.mudah.my/value-buy-setia-alam-trefoil-service-residence-486sf-studio-unit-basic-111279729.htm,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Tennis Court"
"RM 125,000","Nuri Apartment, Kajang","Apartment For Sale, listed 1 hour ago",650,3,2,Freehold,https://www.mudah.my/booking-rm1-000-level-3-pangsapuri-nuri-bandar-bukit-mahkota-bangi-109727989.htm,Playground
"RM 199,000","CyberSquare SOHO, Cyberjaya","Service Residence For Sale, listed 1 hour ago",450,1,1,Freehold,https://www.mudah.my/cyberjaya-full-furnished-studio-full-loan-cybersquare-shaftsbury-108420818.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall"
